country,ISO code,OECD,CIS,NATO,EU,Schengen,Eurozone,ACP Group,CAN,APEC,BSEC,Caricom,EFTA,NAFTA,WTO,continent,region
Cambodia,KHM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Asia,Southeast Asia
Cameroon,CMR,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
Canada,CAN,1,0,1,0,0,0,0,0,1,0,0,0,1,1,North America,North America
Central African Republic,CAF,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
Chad,TCD,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
Chile,CHL,1,0,0,0,0,0,0,0,1,0,0,0,0,1,South America,Latin America and the Caribbean
China,CHN,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Asia,East Asia
Colombia,COL,0,0,0,0,0,0,0,1,0,0,0,0,0,1,South America,Latin America and the Caribbean
Comoros,COM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa
Congo (Brazzaville),COG,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
Congo (Kinshasa),COD,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
Costa Rica,CRI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,North America,Latin America and the Caribbean
Croatia,HRV,0,0,1,1,0,0,0,0,0,0,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Cuba,CUB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,North America,Latin America and the Caribbean
Cyprus,CYP,0,0,0,1,0,1,0,0,0,0,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Czech Republic,CZE,1,0,1,1,1,0,0,0,0,0,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Democratic Republic of the Congo,COD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
Denmark,DNK,1,0,0,1,1,0,0,0,0,0,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Djibouti,DJI,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
Dominica,DMA,0,0,0,0,0,0,1,0,0,0,1,0,0,1,North America,Latin America and the Caribbean
Dominican Republic,DOM,0,0,0,0,0,0,1,0,0,0,0,0,0,1,North America,Latin America and the Caribbean
Ecuador,ECU,0,0,0,0,0,0,0,1,0,0,0,0,0,1,South America,Latin America and the Caribbean
Egypt,EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Africa,Middle East and North Africa
El Salvador,SLV,0,0,0,0,0,0,0,0,0,0,0,0,0,1,North America,Latin America and the Caribbean
Equatorial Guinea,GNQ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa
Eritrea,ERI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa
Estonia,EST,1,0,1,1,1,1,0,0,0,0,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Ethiopia,ETH,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa
Finland,FIN,1,0,0,1,1,1,0,0,0,0,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
France,FRA,1,0,1,1,1,1,0,0,0,0,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Gabon,GAB,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
